Title,Organization_name,Type,Traded as,ISIN,Industry,Predecessors,Headquarters,Area served,Key people,Products,Revenue,Operating income,Net income,Total assets,Total equity,Number of employees,Parent,Subsidiaries,Website
Google,Google LLC,Subsidiary,,,"['Internet', ' Cloud computing', ' Computer software', ' Computer hardware', ' Artificial intelligence', ' Advertising']",,"1600 Amphitheatre Parkway, Mountain View, California, U.S.",Worldwide,"['Sundar Pichai (CEO)', ' Ruth Porat (CFO)']",List of Google products,"66,001,000,000 US dollar (2014)","16,496,000,000 US dollar (2014)","14,444,000,000 United States dollar (2014)","131,133,000,000 US dollar (2014)",,"114,096 (Q3 2019 [update])",Alphabet Inc. (2015–present),['List of subsidiaries'],google.com
Atlas Elektronik,ATLAS ELEKTRONIK GmbH,GmbH,,,['Defence Marine electronics Marine engineering'],,"Bremen, Germany",,['Chairman: Dr. Peter Feldhaus'],,,,,,,,ThyssenKrupp Marine Systems,,www.atlas-elektronik.com/
BMW,Bayerische Motoren Werke AG,Public (Aktiengesellschaft),FWB : BMW,DE0005190003,['Automotive'],Rapp Motorenwerke Bayerische Flugzeugwerke Fahrzeugfabrik Eisenach,"Munich, Germany",Worldwide,"['Oliver Zipse', ' Chairman of the Board of Management Norbert Reithofer', ' Chairman of the Supervisory Board']","Cars, motorcycles",€ 97.48 billion (2018),€9.12 billion (2018),€7.20 billion (2018),€208.98 billion (2018),€57.55 billion (2018),"134,682 (2018)",,,bmwgroup.com
University of Washington,University of Washington,Public flagship Space grant Sea-grant,,,,,,,,,,,,,,,,,www.washington.edu
Carnegie Mellon University,Carnegie Mellon University,Private university,,,,,,,,,,,,,,,,,www.cmu.edu
Cornel Marin,,,,,,,,,,,,,,,,,,,
Greg Mueller,,,,,,,,,,,,,,,,,,,
Danone,Danone S.A.,Société anonyme,Euronext Paris : BN OTCQX : DANOY CAC 40 Component,FR0000120644,['Food processing'],,"Boulevard Haussmann 9th arrondissement, Paris, France",Worldwide,"['Franck Riboud (Honorary Chairman)', ' Emmanuel Faber (Chairman and CEO)']","Baby food, coffee, dairy products, dairy-free products, plant-based products, bottled water, dietary supplements",€ 24.65 billion (2018),€2.74 billion (2018),€2.35 billion (2018),€44.18 billion (2018),€16.47 billion (2018),"105,783 (2018)",,['The Dannon Company (US) Evian Danone North America'],danone.com
University of Alabama in Huntsville,The University of Alabama in Huntsville,Public space-grant research university,,,,,,,,,,,,,,,,,www.uah.edu
"Woodward, Inc.","Woodward, Inc.",Public,NASDAQ : WWD (WGOV prior to 2011) S&P 400 Component,US9807451037,"['Aerospace', ' Industrial']",,"Fort Collins, Colorado, United States",Worldwide,"['Thomas A. Gendron', ' (Chairman', ' President', ' & CEO) ', ' Robert F. Weber', ' Jr.', ' (Vice Chairman & CFO)']",Control systems and components,"US$ 2.10 billion, (FY SEP 2017)","US$ 280.18 million, (FY SEP 2017)","US$ 200.51 million, (FY SEP 2017)","US$ 2.76 billion, (FY SEP 2017)","US$ 1.37 billion, (FY SEP 2017)","~9,000 (FY MAY 2019)",,,www.woodward.com
University of Houston System,University of Houston System,State university system,,,,,,,,,,,,,,,,,uhsystem.edu
University of Oklahoma,University of Oklahoma,Flagship Public Space-grant,,,,,,,,,,,,,,,,,www.ou.edu
University of California,University of California,Public university system,,,,,,,,,,,,,,,,,universityofcalifornia.edu
University of Montpellier,University of Montpellier,Public,,,,,,,,,,,,,,,,,umontpellier.fr
"Allergan, Inc.","Allergan, Inc.",,,,"['Eye care', ' neurosciences', ' medical dermatology', ' medical aesthetics', ' breast enhancement', ' obesity intervention and urologics']",,"Irvine, California, U.S",Over 100 Countries,"['Paul Bisaro', ' Executive Chairman']",,$6.2 billion (2013),,,,,11400 (2013),Allergan plc,,www.allergan.com
TU Dresden,TU Dresden,Public,,,,,,,,,,,,,,,,,tu-dresden.de
University of Pittsburgh,University of Pittsburgh,state-related research university,,,,,,,,,,,,,,,,,www.pitt.edu
Acer Inc.,Acer Inc.,Public,TWSE : 2353 LSE : ACID,TW0002353000,['Computer hardware Electronics'],,"Xizhi, New Taipei, Taiwan",Worldwide,['Stan Shih (Honorary Chairman) George Huang (Chairman) Jason Chen (CEO and President)'],"Desktops, laptops, netbooks, servers, smartphones, tablet computers, storage, handhelds, monitors, televisions LED, LCD & Plasma, video projectors, e-business",NT$ 237.275 billion (2017),NT$3.670 billion (2017),NT$2.797 billion (2017),NT$157.613 billion (2017),NT$57.319 billion (2017),"7,967 (2015)",,"['Gateway', ' Inc. (now-defunct) Packard Bell eMachines (now-defunct) Escom (now-defunct)']",www.acer.com
Durham University,Durham University,Cultural,,,,,,,,,,,,,,,,,dur.ac.uk
BAE Systems,BAE Systems plc,Public limited company,LSE : BA. FTSE 100 Component,GB0002634946,"['Aerospace', ' Arms industry', ' Information security']",British Aerospace Marconi Electronic Systems,"London & Farnborough, UK",Worldwide,"['Sir Roger Carr (chair\xadperson)', ' Charles Woodburn (CEO)']",Civil and military aerospace Defence electronics Naval vessels Munitions Land warfare systems,£ 16.82 billion (2018),£1.61 billion (2018),£1.03 billion (2018),£24.75 billion (2018),£5.62 billion (2018),"85,800 (2020)",,['BAE Systems Inc. BAE Systems Australia BAE Systems Applied Intelligence'],baesystems.com
Central Electricity Generating Board,Central Electricity Generating Board,,,,['Energy: electricity'],,"London, United Kingdom",England and Wales,,"Electricity generation, transmission and bulk sales","0.4264 p/kWh sold (1957-8), 3.0371 p/kWh sold (1981-2)","£340.3 million (1957-8), £6,363.6 million (1981-2)","Net earnings £48.3 million (1957-8), £295.7 million (1981-2)",,,"65,410 (1972), 55,487 (1982)",,,
Baylor College of Medicine,Baylor College of Medicine,Private medical school,,,,,,,,,,,,,,,,,bcm.edu
Vidacare Corporation,Vidacare Corporation,,,,['Medical Equipment'],,"Shavano Park, TX",,,,,,,,,,,,Vidacare.com
University of Freiburg,University of Freiburg,Public,,,,,,,,,,,,,,,,,www.uni-freiburg.de
University of Cincinnati,University of Cincinnati,Public research university,,,,,,,,,,,,,,,,,www.uc.edu
University of Upper Alsace,University of Upper Alsace,,,,,,,,,,,,,,,,,,http://www.uha.fr/
Visa Inc.,Visa Inc.,Public,"Class A: NYSE: V, DJIA component, S&P 100 component, S&P 500 component, Class B: Unlisted, Class C: Unlisted",US92826C8394,['Financial services'],,"Foster City, California, United States",Worldwide,['Alfred F. Kelly (CEO)'],"Credit cards, payment systems",US$ 20.609 billion (2018),US$13.749 billion (2018),US$10.729 billion (2018),US$69.225 billion (2018),US$32.760 billion (2017),"19,500 (2019) [ citation needed ]",,,visa.com
Oklahoma State University–Stillwater,Oklahoma State University–Stillwater,Flagship Public Land-grant Space-grant,,,,,,,,,,,,,,,,,www.okstate.edu
GE Global Research,GE Global Research,Division of General Electric,,,['Technological research'],,"Niskayuna, New York, United States",,,,,,,,,,,,ge.com/research
AOL,AOL,Subsidiary,,US00184X1054,"['media industry', ' technology industry', ' software', ' mass media', ' web search engine', ' internet industry', ' software industry']",,"770 Broadway, New York City, United States",Worldwide,['Tim Armstrong (CEO)'],,,,,,,"5,600","(AOL) Time Warner (2000–2006), Verizon Media (2015–present)",,www.aol.com
Technical University of Denmark,Technical University of Denmark,"Public, Technical",,,,,,,,,,,,,,,,,www.dtu.dk/
Max Pucher,,,,,,,,,,,,,,,,,,,
Sanofi,Sanofi S.A.,Société Anonyme,Euronext : SAN NASDAQ : SNY CAC 40 Component,FR0000120578,['Pharmaceuticals'],,"54, Rue La Boétie, 75008 Paris, France",Worldwide,"['Serge Weinberg (chairman)', ' Paul Hudson (CEO)\u200b (Sep 2019–present)', ' Jean-François Dehecq\u200b (founder)']","Prescription and over-the-counter drugs for thrombosis, cardiovascular disease, diabetes, central nervous system disorders, oncology and internal medicine, vaccines (list...)",€ 36.126 billion (2019),€4.676 billion (2018),€4.423 billion (2018),€111.408 billion (2018),€59.035 billion (2018),"104,226 (2018)",,['Sanofi Pasteur Genzyme Shantha Biotechnics Chattem Zentiva (2009–2018) [ circular reference ] Medley Nichi-Iko'],www.sanofi.com
Emory University,Emory University,Private,,,,,,,,,,,,,,,,,www.emory.edu
AECOM,,Public company,"NYSE: ACM, S&P 400 component",US00766T1007,['Professional services'],,"Los Angeles, California",Worldwide,['Michael S. Burke (Chairman & CEO)'],,US$ 18 billion (2017),US$652 million (2017),US$339 million (2017),US$14.397 billion (2017),US$3.996 billion (2017),"~87,000 (2017)",,,www.aecom.com
John Schwartz,,,,,,,,,,,,,,,,,,,
Astellas Institute for Regenerative Medicine,,Subsidiary,,,['Biotechnology'],,"Marlborough, MA",,,"Stem cell therapies for macular degeneration (human safety trial started in 2010 ) , retinis pigmentosa, glaucoma and corneal blindness",,,,,,,,,Official website
"Woodward, Inc.","Woodward, Inc.",Public,NASDAQ : WWD (WGOV prior to 2011) S&P 400 Component,US9807451037,"['Aerospace', ' Industrial']",,"Fort Collins, Colorado, United States",Worldwide,"['Thomas A. Gendron', ' (Chairman', ' President', ' & CEO) ', ' Robert F. Weber', ' Jr.', ' (Vice Chairman & CFO)']",Control systems and components,"US$ 2.10 billion, (FY SEP 2017)","US$ 280.18 million, (FY SEP 2017)","US$ 200.51 million, (FY SEP 2017)","US$ 2.76 billion, (FY SEP 2017)","US$ 1.37 billion, (FY SEP 2017)","~9,000 (FY MAY 2019)",,,www.woodward.com
Virginia Tech,Virginia Polytechnic Institute and State University,Public Land-grant Space-grant Sea-grant Senior military college,,,,,,,,,,,,,,,,,www.vt.edu
Nokia,Nokia Corporation,Public (Oyj),"Nasdaq Helsinki: NOKIA, Euronext Paris: NOKIA, NYSE: NOK",FI0009000681,"['Telecommunications equipment', ' Networking equipment', ' Mobile phones', ' Consumer electronics']","Nokia Aktiebolag, Suomen Kumitehdas Oy, Suomen Kaapelitehdas Oy, (Pre-1967 fusion)","Espoo, Finland",Worldwide,"['Risto Siilasmaa (chairman)', ' Rajeev Suri (president and\u200b CEO)', ' Kristian Pullola (CFO)', ' Joerg Erlemeier (COO)', ' Barry French (CMO)']",List of Nokia products,€ 22.56 billion (2018),–€59 million (2018),–€549 million (2018),€39.52 billion (2018),€15.37 billion (2018),"103,083 (2018)",,"['Bell Labs', ' Alcatel Mobile', ' NGP Capital', ' Nuage Networks', ' Alcatel Submarine Networks']",www.nokia.com
Kimberly-Clark,Kimberly-Clark Corporation,Public,NYSE : KMB S&P 500 Component,US4943681035,['Personal care'],,"Irving, Texas, U.S. (since 1985)",Worldwide,"['Michael D. Hsu (Chairman & CEO)', ' Maria Henry (SVP & CFO)']","Kleenex, Huggies, Kotex, Depend, Scott, Viva, Cottonelle, Andrex, Pull-Ups, GoodNites, Little Swimmers, Poise, Neat Sheet",US$ 18.5 billion (2018),US$3.299 billion (2017),US$2.278 billion (2017),US$15.151 billion (2017),US$629 million (2017),"~42,000 (December 2017)",,,www.kimberly-clark.com
Mississippi State University,Mississippi State University,Public Flagship Land-Grant Sea-Grant Space-Grant,,,,,,,,,,,,,,,,,www.msstate.edu
University of Michigan,University of Michigan,Flagship Public Sea grant Space grant,,,,,,,,,,,,,,,,,www.umich.edu
Microsoft,Microsoft Corporation,Public,"NASDAQ: MSFT, NASDAQ-100 component, DJIA component, S&P 100 component, S&P 500 component",US5949181045,"['Software development', ' Computer hardware', ' Consumer electronics', ' Social networking service', ' Cloud computing', ' Video games', ' Internet', ' Corporate venture capital']",,"One Microsoft Way, Redmond, Washington, U.S.",Worldwide,"['John W. Thompson(chairman)', ' Satya Nadella(CEO)', ' Brad Smith(president)', ' Bill Gates(technical advisor)']","Windows, Office, Servers, Skype, Visual Studio, Dynamics, Xbox, Surface, Mobile, List of software",US$ 125.8 billion (2019),US$43.0 billion (2019),US$39.2 billion (2019),US$286.55 billion (2019),US$102.33 billion (2019),"148,465 (2019)",none,,www.microsoft.com
Utah State University,Utah State University,Public research university Land-grant Space-grant,,,,,,,,,,,,,,,,,www.usu.edu
University of Nantes,University of Nantes,Public,,,,,,,,,,,,,,,,,www.univ-nantes.fr
DuPont,"DuPont de Nemours, Inc.",Public,"NYSE: DD, S&P 100 component, S&P 500 component",US26614N1028,['Chemicals'],"Dow Chemical, Old DuPont","Wilmington, Delaware, USA",Global,"['Edward D. Breen (chair\xadperson)', ' Marc Doyle (CEO)', ' Lori Koch(CFO)']",,US$ 85.97 billion (2018),US$5.40 billion (2018),US$3.84 billion (2018),US$188.03 billion (2018),US$94.57 billion (2018),"~98,000 (2018)",,,www.dupont.com
Owens Corning,Owens Corning,Public,NYSE : OC S&P 400 Component Russell 1000 Component,US6907421019,"['General Building Materials', ' Composites']",,"Toledo, Ohio",,"['Brian Chambers', ' Chief Executive Officer']",Insulating systems Composite solutions Roofing and asphalt Other building materials and services,US$ 0 6.4 billion (2017),$346 million (2014),$226 million (2014),$7.55 billion (2014),$3.69 billion (2014),"17,000 (2017)",,,www.owenscorning.com
Michigan State University,Michigan State University,"Public, Land grant, Sea grant",,,,,,,,,,,,,,,,,www.msu.edu
BrandSafway,BrandSafway,Private,,,['Access & Industrial Services'],,"Kennesaw, Georgia",Global,['Bill Hayes (President & CEO)'],,,,,,,"32,000+",,,www.brandsafway.com
George Washington University,The George Washington University,Private,,,,,,,,,,,,,,,,,www.gwu.edu
Nanyang Technological University,"Nanyang Technological University, Singapore",Autonomous university,,,,,,,,,,,,,,,,,www.ntu.edu.sg
University of New Mexico,The University of New Mexico,Flagship Public,,,,,,,,,,,,,,,,,www.unm.edu
Pete Skoglund,,,,,,,,,,,,,,,,,,,
Avery Dennison,Avery Dennison Corporation,Public,NYSE : AVY S&P 500 Component,US0536111091,['Packaging'],Avery International Corporation Dennison Manufacturing Company,"207 Goode Avenue Glendale, California, United States",,['Dean A. Scarborough (Executive Chairman) Mitchell Butier (President and CEO)'],"Label materials, apparel branding labels, tags, tickets, specialty adhesive tapes, RFID, medical tapes, sensors, wound dressings",US$ 7.5 Billion (2015),US$ 0.4 Billion (2015),US$ 0.3 Billion (2015),US$ 4.1 Billion (2015),US$ 1.0 Billion (2015),"30,000 (2017)",,,averydennison.com
Montana Technological University,Montana Tech,Public,,,,,,,,,,,,,,,,,www.mtech.edu
Hong Kong University of Science and Technology,The Hong Kong University of Science and Technology,Public,,,,,,,,,,,,,,,,,www.ust.hk
National Cheng Kung University,National Cheng Kung University,Public (National),,,,,,,,,,,,,,,,,"English,Chinese"
École nationale supérieure de mécanique et d'aérotechnique,École Nationale Supérieure de Mécanique et d’Aérotechnique (ISAE-ENSMA),Grande Ecole,,,,,,,,,,,,,,,,,http://www.isae-ensma.fr
Cornell University,Cornell University,Private,,,,,,,,,,,,,,,,,cornell.edu
Alliant Techsystems,Alliant Techsystems Inc.,,NYSE : ATK,US0188041042,"['Aerospace', ' defense', ' and sporting']",,"Arlington, Virginia, U.S.",,"['Mark DeYoung', ' President and CEO']","small-, medium-, and large-caliber military ammunition; sporting ammunition, accessories, and firearms; M855A1 Enhanced Performance Round; medium-caliber gun systems; missile warning systems; tactical rocket motors; XM25 ; Precision Guidance Kit ; AARGM ; AAR-47; Special Mission Aircraft; solid rocket propulsion; GEM-60 Rocket Motors; satellite components; lightweight space deployables and solar arrays; flares and decoys; aerospace structures; facility management and modernization",US$4.78 billion (FY 2014),US$590 million (FY 2014),US$340 million (FY 2014),US$5.77 billion (FY 2014),US$1.91 billion (FY 2014),"16,000",,,www.atk.com
Donghua University,Donghua University,National,,,,,,,,,,,,,,,,,www.dhu.edu.cn
Peking University Shenzhen Graduate School,Peking University Shenzhen Graduate School,"National, Graduate and Research University",,,,,,,,,,,,,,,,,english.pkusz.edu.cn
Motorola,"Motorola, Inc.",,,,['Telecommunications'],,"1303 East Algonquin Road, Schaumburg, Illinois, U.S.",Worldwide,"['Brayn Lopez (CEO & Chairman)', ' Gino Bonanotte (CFO)', ' Shamik Mukherjee (CMO)', ' Mahesh Saptharishi (CTO)']","Tablet computers, Mobile phones, Smartphones, Two-way radios, Networking systems, Cable television systems, Wireless broadband networks, RFID systems, Integrated circuits, Mobile telephone infrastructure, Televisions","22,044,000,000 US dollar (2009)",,,"US$11.851 billion (2013) , US$12.679 billion (2012)",,"17,000 (2019)",Lenovo,,www.motorola.com
University of Southern Denmark,University of Southern Denmark,Public,,,,,,,,,,,,,,,,,www.sdu.dk
Florida Atlantic University,Florida Atlantic University,Public,,,,,,,,,,,,,,,,,www.fau.edu
University of Hawaii,University of Hawaiʻi System,,,,,,,,,,,,,,,,,,www.hawaii.edu
3M,3M Company,Public,"NYSE: MMM, DJIA Component, S&P 100 Component, S&P 500 Component",US88579Y1010,['Conglomerate'],,"Maplewood, Minnesota, U.S.",Worldwide,"['Mike Roman (Chairman', ' President', ' & CEO)']",,US$ 32.765 billion (2018),US$7.207 billion (2018),US$5.349 billion (2018),US$36.500 billion (2018),US$9.796 billion (2018),"93,516 (2018)",,,3M.com
Worcester Polytechnic Institute,Worcester Polytechnic Institute,Private,,,,,,,,,,,,,,,,,www.wpi.edu
Battelle Memorial Institute,Battelle Memorial Institute,Private Nonprofit Charitable Trust,,,"['National Security', ' Healthcare', ' Environment']",,"Columbus, Ohio, USA",,"['Lewis Von Thaer', ' President and CEO']",,US$ 6.2 billion,,,,,"3,200 (+29,500 from national labs)",,,www.battelle.org
Michigan Technological University,Michigan Technological University,Public,,,,,,,,,,,,,,,,,www.mtu.edu
Apple Inc.,Apple Inc.,Public,"NASDAQ: AAPL, NASDAQ-100 component, DJIA component, S&P 100 component, S&P 500 component",US0378331005,"['Computer hardware', ' Computer software', ' Consumer electronics', ' Cloud computing', ' Digital distribution', ' Fabless silicon design', ' Semiconductors', ' Financial technology', ' Artificial intelligence']",,"1 Apple Park Way Cupertino, California, United States",Worldwide,"['Arthur D. Levinson (Chairman)', ' Tim Cook (CEO)', ' Jeff Williams (COO)']","Macintosh, iPod, iPhone, iPad, Apple Watch, Apple TV, HomePod, macOS, iOS, iPadOS, watchOS, tvOS, iLife, iWork, Final Cut Pro, Logic Pro, GarageBand, Shazam, Siri",US$ 260.174 billion (2019),US$63.930 billion (2019),US$55.256 billion (2019),US$338.516 billion (2019),US$90.488 billion (2019),"137,000 (2019)",,"['Braeburn Capital', ' Beats Electronics', ' Claris', ' Apple Energy', ' LLC', ' Apple Sales International ', ' Apple Services ', ' Apple Worldwide Video ', ' Anobit', ' Beddit']",www.apple.com
William H. Jones,,,,,,,,,,,,,,,,,,,
DIC Corporation,DIC Corporation,Public KK,TYO : 4631,JP3493400000,['Chemicals'],,"Waterras Tower, 101, Kanda Awajicho 2-chome, Chiyoda-ku, Tokyo 101-0063, Japan",,"['Kazuo Sugie', ' (Chairman)', ' Yoshiyuki Nakanishi', ' (CEO and President)']","Inks, Pigments, Colorants, Polymers, Coating materials, Adhesives, Liquid crystals, Multilayer films, PPS compounds, Fluorochemical products, Plastic compounds, Hollow-fiber membrane modules, Spirulina",$ 9.105 billion USD (FY 2012) (¥ 703.8 billion JPY) (FY 2012),,$ 202.809 million USD (FY 2012) (¥ 19.1 billion JPY) (FY 2012),,,"20,034 (consolidated) (as of December 31, 2013)",,,Official website
University of Arizona,University of Arizona,Public research university,,,,,,,,,,,,,,,,,www.arizona.edu
Hubbell Incorporated,Hubbell Incorporated,Public,NYSE : HUBB S&P 400 Component,,['Electrical and Electronic products Lighting Power Systems OIl and Gas'],,"Shelton, Connecticut, United States",,,,US$ 4.9 Billion (2018),US$ 890 Million (2018),,US$ 50.7 Billion,US$ 7 Billion (2018),"19,700 (2018)",,"['Burndy Bryant Electric Company Hubbell Lighting Hubbell Power Systems Hubbell Industrial Controls Hubbell Premise Wiring Marine Electrical Products IDevices Norlux Metron Inc GAI-Tronics Corporation Ohio Brass Turner Electric Trinetics Cableform Incorporated Vantage Technology Austdac Pty Limited Strongwell Lenoir City', ' Inc Victor Lighting Atlas Sterner Lighting Haefely Hipotronics Hawke Cable Glands Limited Kellems Co. Inc E. M. Wiegmann', ' Inc. A. B. Chance Industries', ' Inc Gleason Reel Corp. Fargo Manufacturing Company', ' Inc Devine Lighting Chalmit Lighting Siescor Technologies', ' Inc Chardon Electrical Components', ' Inc. Haefely Test AG MyTech Corporation LCA Group', ' Inc Fabrica de Pecas Electricas Delmar LTDA PCORE Electric Company', ' Inc Kurt Versen', ' Inc. USCO Power Equipment Corporation CDR Systems Corp. Varon Lighting Group', ' LLC Wiley Electronics TayMac Corporation Continental Industries', ' Inc Connector Manufacturing Company Norlux Powerohm Resistors Inc Pen-Cell Plastics Inc Opti-Loop Fiber Cable and Accessories Inc Reuel Inc Litecontrol Corporation RigPower LLC RFL Electronics Inc. Electric Controller and Manufacturing Company LLC Acme Electric Corp. Aclara']",www.hubbell.com
Johns Hopkins University,Johns Hopkins University,Private,,,,,,,,,,,,,,,,,www.jhu.edu
Assurant,"Assurant, Inc.",Public,NYSE : AIZ S&P 500 Component,,['Insurance'],,"28 Liberty St New York City, New York, U.S.",Worldwide,['Alan B. Colberg (President & CEO)'],"Home, renters', manufactured housing, flood, & credit insurance, Extended service contracts",US$ 6.415 billion (2017),US$445 million (2017),US$520 million (2017),US$31.843 billion (2017),US$4.271 billion (2017),"14,250 (2020) [ citation needed ]",,,assurant.com
New York University,New York University,Private,,,,,,,,,,,,,,,,,nyu.edu
Mayo Clinic,Mayo Clinic,"Not-For-Profit 501(c)(3), Public Charitable Organization 509(a)(2)",,,['Health care'],,"Rochester, Minnesota, USA","Rochester, Minnesota, Scottsdale / Phoenix, Arizona, Jacksonville, Florida","['Gianrico Farrugia (CEO) ', ' Samuel A. DiPiazza Jr. (Chairman)']",,US$12.603 billion (2018) : 13,,,US$17.305 billion (2018) : 13,,"63,000 : 3",,,www.mayoclinic.org
Adobe Inc.,Adobe Inc.,Public,"NASDAQ: ADBE, NASDAQ-100 component, S&P 100 component, S&P 500 component",US00724F1012,['Computer software'],,"Adobe World Headquarters, San Jose, California, U.S.",Worldwide,"['Shantanu Narayen (Chairman and CEO)', ' John F. Murphy (CFO)', ' Abhay Parasnis (CTO)']",List of Adobe products,US$ 9.03 billion (2018),US$2.84 billion (2018),US$3.62 billion (2018),US$18.76 billion (2018),US$9.36 billion (2018),"21,428 (Q1, 2019)",,,adobe.com
Phillips Petroleum Company,Phillips Petroleum Company,,,,['Oil and gas'],,"Bartlesville, Oklahoma, U.S.",,,Petroleum,,,,,,,,,
Rochester Institute of Technology,Rochester Institute of Technology,Private doctoral university,,,,,,,,,,,,,,,,,rit.edu
Wake Forest University,Wake Forest University,Private,,,,,,,,,,,,,,,,,www.wfu.edu
Walmart,Walmart Inc.,Public,"NYSE: WMT, DJIA component, S&P 100 component, S&P 500 component",US9311421039,['Retail'],,"Bentonville, Arkansas, U.S.",Worldwide,"['Greg Penner (Chairman)', ' Doug McMillon (President', ' CEO)']","Electronics, Movies and music, Home and furniture, Home improvement, Clothing, Footwear, Jewelry, Toys, Health and beauty, Pet supplies, Sporting goods and fitness, Auto, Photo finishing, Craft supplies, Party supplies, Grocery",US$ 514.405 billion (2019),US$21.957 billion (2019),US$6.67 billion (2019),US$219.295 billion (2019),US$79.634 billion (2019),"2.2 million, Worldwide (2018) , 1.5 million, U.S. (2017) , 700,000, International",,['List of subsidiaries'],walmart.com
Equinor,Equinor ASA,Allmennaksjeselskap,OSE : EQNR NYSE : EQNR,NO0010096985,['Oil and gas'],,"Stavanger, Norway",,"['Jon Erik Reinhardsen (Chair) Eldar Sætre (CEO) ', ' Lars Christian Bakker (CFO)']",Petroleum Natural gas Petrochemicals Electrical power,US$61.2 billion (2017),US$13.8 billion (2017),US$4.6 billion (2017),US$111.1 billion (2017),US$39.9 billion (2017),"20,245 (2017)",,,www.equinor.com
Dimitri Petrov,,,,,,,,,,,,,,,,,,,
Pfizer,Pfizer Inc.,Public,"NYSE: PFE, DJIA component, S&P 100 component, S&P 500 component",US7170811035,['Pharmaceutical'],,"235 East 42nd Street Manhattan, New York City, New York 10017 United States",Worldwide,['Ian Read (Executive Chairman) Albert Bourla (CEO)'],See list,US$ 53.64 billion (2018),US$14.00 billion (2018),US$11.15 billion (2018),US$159.42 billion (2018),US$63.40 billion (2018),"67,671 (2019) [ citation needed ]",,,www.pfizer.com
California Institute of Technology,California Institute of Technology,Private,,,,,,,,,,,,,,,,,www.caltech.edu
Edwards Lifesciences,Edwards Lifesciences Corporation,Public,"NYSE: EW, S&P 500 component",US28176E1082,['Medical technology'],,"Irvine, California, U.S.",Worldwide,"['Michael A. Mussallem', ' Chairman & CEO']","Heart valves, Critical care technology, Cardiac surgery technology",$3.73 billion (2018),,,,,"13,000 (2019 )",,,edwards.com
PricewaterhouseCoopers,PricewaterhouseCoopers,Members have different legal structures; both UK and US firms are actually limited liability partnerships,,,['Professional services'],,"London, United Kingdom",Worldwide,['Robert Moritz (Chairman)'],,US$ 42.4 billion (2019),,,,,"250,930 (2018)",,,www.pwc.com
China Three Gorges University,China Three Gorges University,Public,,,,,,,,,,,,,,,,,http://www.ctgu.edu.cn/
Fujian Normal University,Fujian Normal University,Public,,,,,,,,,,,,,,,,,www.fjnu.edu.cn
Daimler AG,Daimler AG,Public (Aktiengesellschaft),"FWB: DAI, DAX component",DE0007100000,['Automotive'],"Benz & Cie (1883–1926), Daimler Motoren Gesellschaft (1890–1926)","Mercedesstraße, Stuttgart, Germany",Worldwide,"['Ola Källenius', ' Chairman of the Board of Management', ' Manfred Bischoff', ' Chairman of the Supervisory Board']","Automobiles, commercial vehicles",€172.745 billion (2019),€4.329 billion (2019),€2.709 billion (2019),€281.619 billion (2018),€66.053 billion (2018),"298,683 (Dec. 31, 2018)",,['TransportationDaimler Commercial Vehicle Manufacturing IndonesiaMercedes-Benz IndonesiaEvoBus GmbHSetraDaimler Trucks North AmericaFreightliner TrucksThomas Built BusesWestern Star TrucksMercedes-Benz MexicoMitsubishi Fuso Truck and Bus Corporation (89.29%)Daimler India Commercial VehiclesBharatBenzMercedes-Benz IndiaMaster MotorsManufacturing Commercial VehiclesMotorsportsMercedes-AMG Petronas Formula One TeamMercedes-Benz EQ Formula E TeamAutomotive TechnologyAutomotive Fuel Cell Cooperation (50.1%)EnginesEngine HoldingFinancesDaimler Financial ServicesMercedes-Benz BankMercedes-Benz FinancialDaimler Truck FinancialOtherDetroit DieselHereInternationalDaimler do BrasilDaimler South AfricaDaimler AustraliaDaimler KoreaDaimler South East Asia'],daimler.com
Eindhoven University of Technology,Eindhoven University of Technology,"Public, Technical",,,,,,,,,,,,,,,,,http://www.tue.nl/en
Auburn University,Auburn University,Public University Flagship Land-grant Sea-grant Space-grant,,,,,,,,,,,,,,,,,www.auburn.edu
Evonik Industries,Evonik Industries AG,Aktiengesellschaft,FWB : EVK,DE000EVNK013,['Specialty chemicals'],,"Essen, Germany",,"['Christian Kullmann (CEO', ' Chairman) Bernd Tönjes (Chairman of the supervisory board)']",Chemicals,€14.419 billion (2017),€1.490 billion (2017),€717 million (2017),€19.939 billion (2017),€19.939 billion (2017),"36,523 (2017)",,,www.evonik.com
Uniformed Services University of the Health Sciences,Uniformed Services University of the Health Sciences (USU),Federal medical school,,,,,,,,,,,,,,,,,usuhs.edu
RTI International,RTI International,Nonprofit,,,,,"Research Triangle Park, North Carolina",Worldwide,['E. Wayne Holden (President/Chief Executive Officer)'],,$972 million (USD) (2018),,,,,,,,www.rti.org
Infineon Technologies,Infineon Technologies AG,Aktiengesellschaft,FWB : IFX,DE0006231004,['Semiconductors'],,"Neubiberg, Germany",,"['Reinhard Ploss (CEO and Chairman of the executive board) Wolfgang Eder (Chairman of the supervisory board) ', ' Sabine Herlitschka (CEO of Infineon Technologies Austria)']","Microcontrollers, communication ICs, Power electronics, ESD Protection Diodes",€ 8.029 billion (2019),€ 1.161 billion (2019),€ 870 million (2019),€ 13.412 billion (2019),€ 8.633 billion (2019),"41,418 (30 September 2019)",,,www.infineon.com
